Timestamp,Symbol,Open Price,Close Price,High Price,Low Price,Volume,Number of Trades,Quote Asset Volume
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.78,101969.98,101934.77,5.68493,1191.0,579565.1637359
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,262.6763,559.0,843181.107365
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.47,685.63,685.47,47.67,168.0,32679.60711
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.77,101969.98,101934.77,5.71295,1202.0,582421.3760156
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,264.9288,570.0,850408.583344
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,48.616,179.0,33328.07101
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,50.711,186.0,34764.15293
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.78,101969.98,101934.77,5.97105,1214.0,608730.7403994
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101934.78,101934.78,101934.78,0.0,0.0,0.0
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,265.6738,577.0,852799.027249
2025-01-23 10:33:59.999,ETHUSDT,3208.65,3208.65,3208.65,3208.65,0.0,0.0,0.0
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.49,685.49,685.48,5.11,5.0,3502.83764
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101934.77,101934.78,101934.77,0.01622,5.0,1653.3820498
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.65,3208.65,3208.64,0.0834,3.0,267.600776
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.55,685.55,685.48,18.083,49.0,12395.99619
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101934.78,101934.78,101934.77,0.02609,14.0,2659.4783284
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.96,3208.96,3208.64,5.5597,107.0,17839.210892
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.55,685.56,685.48,18.18,52.0,12462.49483
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101947.22,101947.22,101934.77,0.87705,217.0,89402.6437942
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.95,3208.96,3208.64,6.2654,115.0,20103.767502
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.55,685.56,685.48,18.292,59.0,12539.2773
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101947.22,101947.22,101934.77,1.31976,270.0,134535.6937626
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.95,3208.96,3208.64,10.873,158.0,34889.364625
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.58,685.58,685.48,28.796,86.0,19740.34974
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101965.49,101966.9,101934.77,2.29739,599.0,234209.3860955
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.95,3208.96,3208.64,11.2418,162.0,36072.828198
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.58,685.58,685.48,28.972,89.0,19861.01168
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101967.02,101967.02,101934.77,2.33717,629.0,238265.6333361
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.95,3208.96,3208.64,14.2418,166.0,45699.678198
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.57,685.58,685.48,29.1,90.0,19948.76464
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101967.02,101967.02,101934.77,2.456,640.0,250382.3732009
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.79,3208.96,3208.64,15.149,189.0,48610.778666
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.54,685.58,685.48,32.012,110.0,21945.11997
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101967.16,101967.16,101934.77,2.48808,685.0,253653.477612
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.77,3208.96,3208.64,28.6477,201.0,91924.930203
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.54,685.58,685.48,43.184,115.0,29603.86125
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101967.27,101967.27,101934.77,2.50584,716.0,255464.4163272
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.76,3208.96,3208.64,62.9874,240.0,202112.78695
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.54,685.58,685.48,43.891,122.0,30088.53284
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101960.03,101967.27,101934.77,2.64878,880.0,270039.5436434
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.55,3208.96,3208.55,67.9811,279.0,218136.21603
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101960.03,101967.27,101934.77,2.99677,914.0,305520.6125214
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3208.17,3208.96,3208.16,102.9374,400.0,330288.65974
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.41,685.58,685.4,79.533,221.0,54519.80488
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101960.02,101967.27,101934.77,3.02451,920.0,308348.9837234
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.68,3208.96,3207.67,105.4587,453.0,338376.993717
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.3,685.58,685.3,94.798,273.0,64981.9465
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101956.16,101967.27,101934.77,3.10685,1020.0,316744.3231369
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.68,3208.96,3207.67,107.0479,463.0,343474.637911
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.3,685.58,685.3,94.963,276.0,65095.02107
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101956.15,101967.27,101934.77,3.12231,1027.0,318320.5653398
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.67,3208.96,3207.67,121.8143,470.0,390840.456113
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.31,685.58,685.3,100.065,293.0,68591.47269
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101968.18,101968.18,101934.77,8.78485,1264.0,895712.4960046
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.68,3208.96,3207.67,124.4194,482.0,399196.783184
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.35,685.58,685.3,100.283,312.0,68740.87605
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101971.94,101971.94,101934.77,8.84861,1366.0,902214.1120753
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.68,3208.96,3207.67,126.4725,490.0,405782.450967
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.34,685.58,685.3,100.651,323.0,68993.08428
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101976.0,101976.0,101934.77,8.95864,1460.0,913434.2233348
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.35,3208.96,3207.35,155.0802,579.0,497540.134551
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.34,685.58,685.3,100.84,327.0,69122.61527
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101979.18,101979.18,101934.77,9.10389,1597.0,928246.6147537
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.35,3208.96,3207.03,322.8247,857.0,1035560.523915
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.35,685.58,685.3,102.117,341.0,69997.80194
2025-01-23 10:33:59.999,BNBUSDT,685.48,685.34,685.58,685.3,102.234,344.0,70077.98679
